Название вакансии,URL,Название компании,Описание,цна
Machine Learning Developer (AWS),https://hh.ru/vacancy/35380437?query=python,ООО ClearScale,"We are hiring for a 2-year-long project related to a migration from a 3rd party cloud to...Hands-on experience with ElasticSearch. Hands-on experience with advanced Python data frameworks (Seaborn, PyTorch, Dask). Valid AWS certificates would...",от 320 000 руб.
Ведущий разработчик Python/программист Python,https://hh.ru/vacancy/35486182?query=python,ООО Инфософт Сервис,"Разработка серверной части действующего продукта - сервис электронной торговой площадки. Участие в разработке новых сервисов компании.Уверенное знание Python (опыт от 3х лет). Опыт работы и понимание асинхронной архитектуры (фреймворки asyncio, aiohttp, tornado). ",70 000-120 000 руб.
Full Stack Python Developer (remote),https://hh.ru/vacancy/35384957?query=python, Nitka Technologies,Design API interfaces. - Evaluate and select appropriate technologies for scalable platform solutions. - Implement best practices for code quality. - 5+ years of experience in enterprise IT. - Python skills. - Strong javascript skills. - Data processing skills (DBs: SQL and NoSQL). - ,3 000-3 500 USD
Full Stack Python Developer (remote),https://hh.ru/vacancy/35384954?query=python, Nitka Technologies,Design API interfaces. - Evaluate and select appropriate technologies for scalable platform solutions. - Implement best practices for code quality. - 5+ years of experience in enterprise IT. - Python skills. - Strong javascript skills. - Data processing skills (DBs: SQL and NoSQL). - ,3 000-3 500 USD
Python-developer,https://hh.ru/vacancy/35276223?query=python,ИП Черкасов Константин Юрьевич,"Хорошее знание языка Python. Опыт работы с flask, sqlalchemy, MySQl/PostgreSQL. Дополнительные плюсы: Опыт работы с микросервисной архитектурой, опыт работы...",50 000-90 000 руб.
Full Stack Python Developer (remote),https://hh.ru/vacancy/35384956?query=python, Nitka Technologies,Design API interfaces. - Evaluate and select appropriate technologies for scalable platform solutions. - Implement best practices for code quality. - 5+ years of experience in enterprise IT. - Python skills. - Strong javascript skills. - Data processing skills (DBs: SQL and NoSQL). - ,3 000-3 500 USD
Full Stack Python Developer (remote),https://hh.ru/vacancy/35384959?query=python, Nitka Technologies,Design API interfaces. - Evaluate and select appropriate technologies for scalable platform solutions. - Implement best practices for code quality. - 5+ years of experience in enterprise IT. - Python skills. - Strong javascript skills. - Data processing skills (DBs: SQL and NoSQL). - ,3 000-3 500 USD
Full Stack Python Developer (remote),https://hh.ru/vacancy/35384955?query=python, Nitka Technologies,Design API interfaces. - Evaluate and select appropriate technologies for scalable platform solutions. - Implement best practices for code quality. - 5+ years of experience in enterprise IT. - Python skills. - Strong javascript skills. - Data processing skills (DBs: SQL and NoSQL). - ,3 000-3 500 USD
Бэкенд-разработчик на Python,https://hh.ru/vacancy/35564589?query=python, Канобу,"Формализация желаний людей, далеких от разработки. Проектирование архитектурных решений. Разработка нового функционала проекта. Оптимизация кода (профилирование, анализ узких мест). Опыт работы с Python и Django. Можно столкнуться с Python 2.7. Опыт работы с реляционными БД (MySQL). ",от 70 000 руб.
Full Stack Python Developer (remote),https://hh.ru/vacancy/35384958?query=python, Nitka Technologies,Design API interfaces. - Evaluate and select appropriate technologies for scalable platform solutions. - Implement best practices for code quality. - 5+ years of experience in enterprise IT. - Python skills. - Strong javascript skills. - Data processing skills (DBs: SQL and NoSQL). - ,3 000-3 500 USD
Старший разработчик Python,https://hh.ru/vacancy/35447201?query=python,ООО Мандарин,"Проектировать и реализовывать REST API для внутреннего и внешнего использования. Разрабатывать административные интерфейсы к сервисам компании. Анализировать и оптимизировать производительность...Знание Python, опыт работы с SQLAlchemy и PostgreSQL, Celery, Redis, RabbitMQ. Опыт использования и разработки Web-сервисов – REST, JSON-RPC...",200 000-250 000 руб.
Machine Learning Developer (AWS),https://hh.ru/vacancy/35159018?query=python,ООО ClearScale,"We are hiring for a 2-year-long project related to a migration from a 3rd party cloud to...Hands-on experience with ElasticSearch. Hands-on experience with advanced Python data frameworks (Seaborn, PyTorch, Dask). Valid AWS certificates would...",от 320 000 руб.
Python-разработчик,https://hh.ru/vacancy/35310681?query=python, Digitalist PC,"Самостоятельность и инициативность. Опыт работы с вышеупомянутым стеком от 2 лет. Будет плюсом: Знание методологий управления проектами (Agile, Scrum, Kanban...",от 110 000 руб.
Python Web Developer,https://hh.ru/vacancy/34831620?query=python, Soshace,Guarantee of regular payments and reliable clients. We search for clients and do all the paperwork. After the first project...3+ years of professional software development experience with Python. 1+ year of professional experience with Django. ,200 000-300 000 руб.
Python разработчик,https://hh.ru/vacancy/35113433?query=python,ООО Б152,"Участие в разработке системы оценки веб-сайтов и компаний на соответствие российским и международным стандартам по защите персональных данных.Требования: Опыт применения машинного обучения (нейронные сети, байесовских методов и др.) для решения прикладных задач. Хорошее знание Python, Django. ",от 120 000 руб.
Full-Stack Python developer,https://hh.ru/vacancy/35199079?query=python, Sphere Consulting,Work closely with project's data science team to make them as highly productive as possible. Build tools for the...3+ years of Python development expertise. Familiarity with the API’s. Solid knowledge of SQL databases and specifically PostgreSQL...,до 4 000 USD
Программист (Python\Django\HTML\CSS\JS),https://hh.ru/vacancy/35549778?query=python,ООО Портал Каргокс,"...верстка, не было конфликтов в работе других модулей и т.д. Сайт самописный, работает на Django Framework и Python 3.Обязательные требования - Знание языков: Python 3, MySQL, js, HTML, CSS (SCSS, SASS), Системы управления контентом (CMS): Самописные проекты Фреймворки: Django...",от 100 000 руб.
Аналитик данных (middle),https://hh.ru/vacancy/35177110?query=python, Site&Seo,"Организовать сбор данных средствами python из Я.Метрики, Google Analytics, Search Console и других систем. Организовать хранение данных. Организовать представление данных. Писать и оптимизировать SQL запросы. Обработка данных на python или на языке R. Уметь пользоваться сводными таблицами, группировкой. ",до 100 000 руб.
Python developer,https://hh.ru/vacancy/35305845?query=python, EXANTE,Имеете опыт в разработке с использованием python 3.5+. Имеете опыт работы с SQL базами данных (в идеале PostgreSQL). ,от 1 500 EUR
Python (Django) developer,https://hh.ru/vacancy/35245102?query=python, evrone.ru,Команда Evrone занимается продуктовой разработкой на заказ.Хорошее знание Python 3 в целом и Django в частности. Умение пользоваться РСУБД не только через ORM. Наличие опыта проектирования...,до 180 000 руб.
Data Scientist (NLP),https://hh.ru/vacancy/35495820?query=python, M-soft,"Разрабатываем продукты, которые с помощью передовых подходов, алгоритмов и методов NLP решают актуальные задачи, стоящие перед человечеством. Изучаем и реализуем...Хорошая математическая подготовка, знания в области статистики, регрессионного анализа. Опыт программирования на Python от 3 лет. Знание основ SQL. ",3 000-4 000 USD
Программист Python,https://hh.ru/vacancy/35473239?query=python,ООО Продснаб,Разработка парсеров различных сайтов(всего около 50 сайтов). Поддержание парсеров в работоспособном состоянии.Коммуникабельность. Умение работать в команде. Уметь слушать и слышать собеседника/коллегу/руководителя.,от 50 000 руб.
