Название продукта;Ссылка на продукт;Банк;Изображение карты
Райфкарта + Visa Gold;https://minfin.com.ua//cards/card/view/rajfkarta-visa-gold;Райффайзен банк Аваль;https://minfin.com.ua//cimgs/cards/rajfkarta-visa-gold.png
Райфкарта + Visa Gold;https://minfin.com.ua//cards/card/view/rajfkarta-visa-gold;Райффайзен банк Аваль;https://minfin.com.ua//cimgs/cards/rajfkarta-visa-gold.png
Райфкарта Visa Reward;https://minfin.com.ua//cards/card/view/rajfkarta-visa-reward;Райффайзен банк Аваль;https://minfin.com.ua//cimgs/cards/rajfkarta-visa-reward.png
Социальная карта;https://minfin.com.ua//cards/card/view/soczialnaya-karta-1856779378;КИБ (Коммерческий Индустриальный Банк);https://minfin.com.ua//cimgs/cards/soczialnaya-karta-1856779378.png
Детская карта;https://minfin.com.ua//cards/card/view/detskaya-karta;КИБ (Коммерческий Индустриальный Банк);https://minfin.com.ua//cimgs/cards/detskaya-karta.png
Кредитка;https://minfin.com.ua//cards/card/view/kreditka-616745310;izibank;https://minfin.com.ua//cimgs/cards/kreditka-616745310.png
О.Карта;https://minfin.com.ua//cards/card/view/o-karta;O.Bank;https://minfin.com.ua//cimgs/cards/o-karta.png
Двойная выгода;https://minfin.com.ua//cards/card/view/dvojnaya-vy-goda;Первый инвестиционный Банк;https://minfin.com.ua//cimgs/cards/dvojnaya-vy-goda.png
Дебетная карта;https://minfin.com.ua//cards/card/view/debetnaya-karta;Первый инвестиционный Банк;https://minfin.com.ua//cimgs/cards/debetnaya-karta.png
Зарплатная карта;https://minfin.com.ua//cards/card/view/zarplatnaya-karta-1683686945;Первый инвестиционный Банк;https://minfin.com.ua//cimgs/cards/zarplatnaya-karta-1683686945.png
А-клуб Mastercard World Black Edition;https://minfin.com.ua//cards/card/view/a-klub-mastercard-world-black-edition;Альфа-Банк;https://minfin.com.ua//cimgs/cards/a-klub-mastercard-world-black-edition.png
Альфа Простир;https://minfin.com.ua//cards/card/view/alfa-prostir-1794717397;Альфа-Банк;https://minfin.com.ua//cimgs/cards/alfa-prostir-1794717397.png
Альфа Простир;https://minfin.com.ua//cards/card/view/alfa-prostir-1794717397;Альфа-Банк;https://minfin.com.ua//cimgs/cards/alfa-prostir-1794717397.png
World of Tanks Blitz;https://minfin.com.ua//cards/card/view/world-of-tanks-blitz-1129320384;Альфа-Банк;https://minfin.com.ua//cimgs/cards/world-of-tanks-blitz-1129320384.png
World of Warships;https://minfin.com.ua//cards/card/view/world-of-warships-572366573;Альфа-Банк;https://minfin.com.ua//cimgs/cards/world-of-warships-572366573.png
World of Tanks;https://minfin.com.ua//cards/card/view/world-of-tanks-950460349;Альфа-Банк;https://minfin.com.ua//cimgs/cards/world-of-tanks-950460349.png
"Кредитная карточка ""Фокс Клуб""";https://minfin.com.ua//cards/card/view/kreditnaya-kartochka-foks-klub-850441500;Альфа-Банк;https://minfin.com.ua//cimgs/cards/kreditnaya-kartochka-foks-klub-850441500.png
"Кредитная карточка ""ЕКО-Максимум""";https://minfin.com.ua//cards/card/view/kreditnaya-kartochka-eko-maksimum-981227045;Альфа-Банк;https://minfin.com.ua//cimgs/cards/kreditnaya-kartochka-eko-maksimum-981227045.png
"Кредитная карта ""Альфа - Connect"" MC Debit World";https://minfin.com.ua//cards/card/view/kreditnaya-karta-alfa-connect-mc-debit-world;Альфа-Банк;https://minfin.com.ua//cimgs/cards/kreditnaya-karta-alfa-connect-mc-debit-world.png
Сarbon;https://minfin.com.ua//cards/card/view/sarbon;Альфа-Банк;https://minfin.com.ua//cimgs/cards/sarbon.png
Кредитная Карта Travel;https://minfin.com.ua//cards/card/view/kreditnaya-karta-travel-477490367;Альфа-Банк;https://minfin.com.ua//cimgs/cards/kreditnaya-karta-travel-477490367.png
Все Просто;https://minfin.com.ua//cards/card/view/vse-prosto-1040771227;Альфа-Банк;https://minfin.com.ua//cimgs/cards/vse-prosto-1040771227.png
Red Cash;https://minfin.com.ua//cards/card/view/red-cash;Альфа-Банк;https://minfin.com.ua//cimgs/cards/red-cash.png
Red Cash;https://minfin.com.ua//cards/card/view/red-cash;Альфа-Банк;https://minfin.com.ua//cimgs/cards/red-cash.png
Выгода;https://minfin.com.ua//cards/card/view/vy-goda;Альфа-Банк;https://minfin.com.ua//cimgs/cards/vy-goda.png
Visa Signature;https://minfin.com.ua//cards/card/view/visa-signature;Укргазбанк;https://minfin.com.ua//cimgs/cards/visa-signature.png
